"model_overview_link href","tag_new","model_overview_list_img src","model_overview_list_btn","model_overview_list_txt","model_overview_list_txt_price","select-type","select-type 2","select-type 3","select-type 4","selected","selectric-scroll 2","last"
"https://www.honda.co.th/brv","ใหม่","https://www.honda.co.th/uploads/car_models/7600ba9105dfdff5ec412c67c9cc908941.png","Honda BR-V","SUV 7 ที่นั่ง มาพร้อมความสะดวกสบายและสมรรถนะที่ดีเยี่ยมตอบโจทย์ทุกการใช้งาน เพื่อทุกคนในครอบครัว","เริ่มต้น 915,000  บาท","E - Taffeta White","E – Crystal Black","EL - Crystal Black","EL – Premium Sunlight","E - Taffeta White","EL - Crystal Black","EL – Premium Sunlight"
"https://www.honda.co.th/civic","ใหม่","https://www.honda.co.th/uploads/car_models/9ae632d8f0d4b130f5ce33ec1ba35be110.png","Honda Civic  (e:HEV / Turbo)","ก้าวสู่มิติใหม่ความแรงจากระบบขับเคลื่อนฟูลไฮบริด e:HEV พลังแห่งการขับเคลื่อน... ที่เกินกว่าใครจะตามทัน","เริ่มต้น 964,900  บาท","EL","EL+","e:HEV EL+","e:HEV RS","EL","e:HEV EL+","e:HEV RS"
"https://www.honda.co.th/hrvehev","","https://www.honda.co.th/uploads/car_models/36a7042bf6e69425f5be0233f66f67a370.png","Honda HR-V e:HEV","สปอร์ตพรีเมียมเอสยูวี ที่มาพร้อมขุมพลังฟูลไฮบริดและเทคโนโลยีอันล้ำสมัย 
โดดเด่นด้วยดีไซน์ พื้นที่อเนกประสงค์ และฟังก์ชันที่ลงตัวกับทุกไลฟ์สไตล์","เริ่มต้น 979,000  บาท","e:HEV E","e:HEV EL","e:HEV RS","","e:HEV E","","e:HEV RS"
"https://www.honda.co.th/accord","","https://www.honda.co.th/uploads/car_models/43e9df8e24d96c00d2b3637112548b1d35.png","Honda Accord  (e:HEV / Turbo)","ยนตรกรรมที่สะท้อนความสปอร์ตพรีเมียม 
ที่สุดแห่งเทคโนโลยีการขับเคลื่อนระดับพรีเมียม สู่ทุกปลายทางความสำเร็จอย่างมั่นใจ","เริ่มต้น 1,499,000  บาท","EL","e:HEV EL+","e:HEV TECH","","EL","","e:HEV TECH"
"https://www.honda.co.th/cityhatchbackehev","","https://www.honda.co.th/uploads/car_models/459522e29bb031284fec8cf6243c097843.png","Honda City Hatchback e:HEV","สัมผัสความแรงแต่ประหยัด พร้อมเทคโนโลยีความปลอดภัยอัจฉริยะ และพื้นที่อเนกประสงค์ด้านหลัง ให้คุณมูฟไปตามใจคิด","เริ่มต้น 849,000  บาท","RS","","","","","","RS"
"https://www.honda.co.th/cityhatchback","","https://www.honda.co.th/uploads/car_models/eea370d2de1e067a56e5e2325a2d9b6463.png","Honda City Hatchback","ซิตี้คาร์แฮทช์แบ็ก พร้อมพื้นที่อเนกประสงค์ด้านหลัง และเครื่องยนต์ 1.0 ลิตร เทอร์โบ ให้คุณมูฟไปใช้ชีวิตในแบบตัวเอง","เริ่มต้น 599,000  บาท","S+","SV","RS","","S+","","RS"
"https://www.honda.co.th/cityehev","","https://www.honda.co.th/uploads/car_models/adefeba31088626dfb607d41ea6229cd50.png","Honda City e:HEV","สัมผัสขุมพลังความแรง ประหยัดน้ำมันดีเยี่ยม พร้อมเทคโนโลยีความปลอดภัยอัจฉริยะ ให้คุณพุ่งทะยานสู่อนาคตได้อย่างมั่นใจ","เริ่มต้น 839,000  บาท","e:HEV RS","","","","","","e:HEV RS"
"https://www.honda.co.th/city","","https://www.honda.co.th/uploads/car_models/8477b370d221d06284c8390fc856056299.png","Honda City","เปลี่ยนทุกมาตรฐานของรถซิตี้คาร์
ให้พร้อมขับเคลื่อนพาคุณไปไกลเกินกว่าทุกความคาดหมาย","เริ่มต้น 579,500  บาท","S","V","SV","RS","S","SV","RS"
"https://www.honda.co.th/civichatchback","","https://www.honda.co.th/uploads/car_models/98a14ee47ffb6b0b6f18bd2a2596108b18.png","Honda Civic Hatchback","รถแฮทช์แบ็ก 5 ประตู ดีไซน์สปอร์ต โฉบเฉี่ยว ขับขี่สนุกเร้าใจไปกับเครื่องยนต์ VTEC TURBO","เริ่มต้น 1,229,000  บาท","HATCHBACK TURBO RS","","","","","","HATCHBACK TURBO RS"
"https://www.honda.co.th/crv","","https://www.honda.co.th/uploads/car_models/9401af75f0aee88291b0985b86a8153630.png","Honda CR-V","เอสยูวีระดับพรีเมียม ดีไซน์หรูหรา แข็งแกร่งทุกมิติ พร้อมครบครันด้วยฟังก์ชันล้ำสมัยระดับพรีเมียม","เริ่มต้น 1,369,000  บาท","2.4 S","2.4 E","2.4 ES 4WD","2.4 EL 4WD","2.4 S","2.4 ES 4WD","2.4 EL 4WD"